Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF,Year,Quarter_single,HBName
2017Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,477,1383,2.899371069,NA,511,1949,3,NA,2017,Q4,NHS Ayrshire and Arran
2018Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,418,1100,2.631578947,NA,435,1320,3,NA,2018,Q1,NHS Ayrshire and Arran
2018Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,462,1348,2.917748918,NA,484,1676,3,NA,2018,Q2,NHS Ayrshire and Arran
2018Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,398,1016,2.552763819,NA,425,1425,3,NA,2018,Q3,NHS Ayrshire and Arran
2018Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,430,1048,2.437209302,NA,459,1411,3,NA,2018,Q4,NHS Ayrshire and Arran
2019Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,425,906,2.131764706,NA,446,1365,3,NA,2019,Q1,NHS Ayrshire and Arran
2019Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,432,1007,2.331018519,NA,457,1368,2,NA,2019,Q2,NHS Ayrshire and Arran
2019Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,379,1176,3.102902375,NA,411,1468,3,NA,2019,Q3,NHS Ayrshire and Arran
2019Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,359,991,2.760445682,NA,383,1368,3,NA,2019,Q4,NHS Ayrshire and Arran
2020Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,321,874,2.722741433,NA,349,1164,3,NA,2020,Q1,NHS Ayrshire and Arran
2020Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,87,204,2.344827586,NA,94,469,4,NA,2020,Q2,NHS Ayrshire and Arran
2020Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,212,752,3.547169811,NA,224,893,3,NA,2020,Q3,NHS Ayrshire and Arran
2020Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,199,451,2.266331658,NA,209,748,3,NA,2020,Q4,NHS Ayrshire and Arran
2021Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,96,328,3.416666667,NA,104,600,5,NA,2021,Q1,NHS Ayrshire and Arran
2021Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,211,575,2.725118483,NA,224,794,3,NA,2021,Q2,NHS Ayrshire and Arran
2021Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,152,450,2.960526316,NA,179,831,4,NA,2021,Q3,NHS Ayrshire and Arran
2021Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,222,656,2.954954955,NA,232,931,4,NA,2021,Q4,NHS Ayrshire and Arran
2022Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,180,662,3.677777778,NA,192,841,4,NA,2022,Q1,NHS Ayrshire and Arran
2022Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,224,724,3.232142857,NA,238,899,3,NA,2022,Q2,NHS Ayrshire and Arran
2022Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,288,927,3.21875,NA,307,1272,4,NA,2022,Q3,NHS Ayrshire and Arran
2022Q4,p,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,264,777,2.943181818,NA,290,1060,3,NA,2022,Q4,NHS Ayrshire and Arran
2017Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,342,1116,3.263157895,NA,355,1465,4,NA,2017,Q4,NHS Ayrshire and Arran
2018Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,303,931,3.072607261,NA,319,1087,3,NA,2018,Q1,NHS Ayrshire and Arran
2018Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,349,1052,3.014326648,NA,370,1411,3,NA,2018,Q2,NHS Ayrshire and Arran
2018Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,347,924,2.662824207,NA,372,1127,3,NA,2018,Q3,NHS Ayrshire and Arran
2018Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,337,1302,3.863501484,NA,352,1772,5,NA,2018,Q4,NHS Ayrshire and Arran
2019Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,402,927,2.305970149,NA,421,1258,2,NA,2019,Q1,NHS Ayrshire and Arran
2019Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,354,873,2.466101695,NA,368,1188,3,NA,2019,Q2,NHS Ayrshire and Arran
2019Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,339,879,2.592920354,NA,362,1086,3,NA,2019,Q3,NHS Ayrshire and Arran
2019Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,326,920,2.82208589,NA,342,1169,3,NA,2019,Q4,NHS Ayrshire and Arran
2020Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,267,692,2.5917603,NA,283,1195,4,NA,2020,Q1,NHS Ayrshire and Arran
2020Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,70,267,3.814285714,NA,69,281,4,NA,2020,Q2,NHS Ayrshire and Arran
2020Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,188,708,3.765957447,NA,200,949,4,NA,2020,Q3,NHS Ayrshire and Arran
2020Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,173,551,3.184971098,NA,182,653,3,NA,2020,Q4,NHS Ayrshire and Arran
2021Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,83,352,4.240963855,NA,86,486,5,NA,2021,Q1,NHS Ayrshire and Arran
2021Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,188,551,2.930851064,NA,202,746,3,NA,2021,Q2,NHS Ayrshire and Arran
2021Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,132,417,3.159090909,NA,141,633,4,NA,2021,Q3,NHS Ayrshire and Arran
2021Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,165,526,3.187878788,NA,171,743,4,NA,2021,Q4,NHS Ayrshire and Arran
2022Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,130,453,3.484615385,NA,141,644,4,NA,2022,Q1,NHS Ayrshire and Arran
2022Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,192,490,2.552083333,NA,199,914,4,NA,2022,Q2,NHS Ayrshire and Arran
2022Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,213,461,2.164319249,NA,229,726,3,NA,2022,Q3,NHS Ayrshire and Arran
2022Q4,p,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,223,651,2.919282511,NA,232,813,3,NA,2022,Q4,NHS Ayrshire and Arran
2017Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,261,675,2.586206897,NA,278,906,3,NA,2017,Q4,NHS Ayrshire and Arran
2018Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,242,805,3.326446281,NA,258,1105,4,NA,2018,Q1,NHS Ayrshire and Arran
2018Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,238,527,2.214285714,NA,246,651,2,NA,2018,Q2,NHS Ayrshire and Arran
2018Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,247,648,2.623481781,NA,260,865,3,NA,2018,Q3,NHS Ayrshire and Arran
2018Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,302,729,2.413907285,NA,319,956,2,NA,2018,Q4,NHS Ayrshire and Arran
2019Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,290,545,1.879310345,NA,294,706,2,NA,2019,Q1,NHS Ayrshire and Arran
2019Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,297,749,2.521885522,NA,309,1067,3,NA,2019,Q2,NHS Ayrshire and Arran
2019Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,259,766,2.957528958,NA,269,863,3,NA,2019,Q3,NHS Ayrshire and Arran
2019Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,241,664,2.755186722,NA,253,901,3,NA,2019,Q4,NHS Ayrshire and Arran
2020Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,247,740,2.995951417,NA,254,1032,4,NA,2020,Q1,NHS Ayrshire and Arran
2020Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,68,157,2.308823529,NA,69,185,2,NA,2020,Q2,NHS Ayrshire and Arran
2020Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,145,522,3.6,NA,147,533,3,NA,2020,Q3,NHS Ayrshire and Arran
2020Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,117,238,2.034188034,NA,126,552,4,NA,2020,Q4,NHS Ayrshire and Arran
2021Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,58,131,2.25862069,NA,59,179,3,NA,2021,Q1,NHS Ayrshire and Arran
2021Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,156,379,2.429487179,NA,170,523,3,NA,2021,Q2,NHS Ayrshire and Arran
2021Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,121,527,4.355371901,NA,128,501,3,NA,2021,Q3,NHS Ayrshire and Arran
2021Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,123,355,2.886178862,NA,127,525,4,NA,2021,Q4,NHS Ayrshire and Arran
2022Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,103,285,2.766990291,NA,104,342,3,NA,2022,Q1,NHS Ayrshire and Arran
2022Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,144,374,2.597222222,NA,150,516,3,NA,2022,Q2,NHS Ayrshire and Arran
2022Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,182,525,2.884615385,NA,198,636,3,NA,2022,Q3,NHS Ayrshire and Arran
2022Q4,p,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,194,620,3.195876289,NA,215,859,3,NA,2022,Q4,NHS Ayrshire and Arran
2017Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,223,516,2.313901345,NA,238,717,3,NA,2017,Q4,NHS Ayrshire and Arran
2018Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,182,471,2.587912088,NA,191,607,3,NA,2018,Q1,NHS Ayrshire and Arran
2018Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,207,559,2.700483092,NA,212,743,3,NA,2018,Q2,NHS Ayrshire and Arran
2018Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,210,521,2.480952381,NA,222,825,3,NA,2018,Q3,NHS Ayrshire and Arran
2018Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,218,613,2.811926606,NA,226,783,3,NA,2018,Q4,NHS Ayrshire and Arran
2019Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,247,583,2.360323887,NA,247,657,2,NA,2019,Q1,NHS Ayrshire and Arran
2019Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,231,633,2.74025974,NA,249,918,3,NA,2019,Q2,NHS Ayrshire and Arran
2019Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,231,632,2.735930736,NA,238,805,3,NA,2019,Q3,NHS Ayrshire and Arran
2019Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,202,486,2.405940594,NA,208,577,2,NA,2019,Q4,NHS Ayrshire and Arran
2020Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,191,526,2.753926702,NA,192,620,3,NA,2020,Q1,NHS Ayrshire and Arran
2020Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,37,94,2.540540541,NA,38,218,5,NA,2020,Q2,NHS Ayrshire and Arran
2020Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,84,214,2.547619048,NA,86,260,3,NA,2020,Q3,NHS Ayrshire and Arran
2020Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,102,230,2.254901961,NA,108,428,3,NA,2020,Q4,NHS Ayrshire and Arran
2021Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,46,106,2.304347826,NA,51,158,3,NA,2021,Q1,NHS Ayrshire and Arran
2021Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,125,256,2.048,NA,132,428,3,NA,2021,Q2,NHS Ayrshire and Arran
2021Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,96,252,2.625,NA,108,473,4,NA,2021,Q3,NHS Ayrshire and Arran
2021Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,106,430,4.056603774,NA,110,510,4,NA,2021,Q4,NHS Ayrshire and Arran
2022Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,92,327,3.554347826,NA,96,375,3,NA,2022,Q1,NHS Ayrshire and Arran
2022Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,145,499,3.44137931,NA,149,555,3,NA,2022,Q2,NHS Ayrshire and Arran
