Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF,Year,Quarter_single,HBName
2017Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,477,1383,2.899371069,NA,511,1949,3.81409002,NA,2017,Q4,NHS Ayrshire and Arran
2018Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,418,1100,2.631578947,NA,435,1320,3.034482759,NA,2018,Q1,NHS Ayrshire and Arran
2018Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,462,1348,2.917748918,NA,484,1676,3.462809917,NA,2018,Q2,NHS Ayrshire and Arran
2018Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,398,1016,2.552763819,NA,425,1425,3.352941176,NA,2018,Q3,NHS Ayrshire and Arran
2018Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,430,1048,2.437209302,NA,459,1411,3.074074074,NA,2018,Q4,NHS Ayrshire and Arran
2019Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,425,906,2.131764706,NA,446,1365,3.060538117,NA,2019,Q1,NHS Ayrshire and Arran
2019Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,432,1007,2.331018519,NA,457,1368,2.993435449,NA,2019,Q2,NHS Ayrshire and Arran
2019Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,379,1176,3.102902375,NA,411,1468,3.571776156,NA,2019,Q3,NHS Ayrshire and Arran
2019Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,359,991,2.760445682,NA,383,1368,3.571801567,NA,2019,Q4,NHS Ayrshire and Arran
2020Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,321,874,2.722741433,NA,349,1164,3.335243553,NA,2020,Q1,NHS Ayrshire and Arran
2020Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,87,204,2.344827586,NA,94,469,4.989361702,NA,2020,Q2,NHS Ayrshire and Arran
2020Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,212,752,3.547169811,NA,224,893,3.986607143,NA,2020,Q3,NHS Ayrshire and Arran
2020Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,199,451,2.266331658,NA,209,748,3.578947368,NA,2020,Q4,NHS Ayrshire and Arran
2021Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,96,328,3.416666667,NA,104,600,5.769230769,NA,2021,Q1,NHS Ayrshire and Arran
